onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.700	ISI	0	0	 0.000
 2.700	 1.351	ISI	0	0	 0.000
 4.051	 0.675	Cue	0	0	 0.000
 4.726	 3.712	ISI	0	0	 0.000
 8.438	 0.270	Bip	0	0	 0.000
 8.708	 2.498	A_rough	0	0	 0.000
 11.206	 1.687	ISI	0	0	 0.000
 12.893	 0.270	Bip	0	0	 0.000
 13.163	 2.498	A_rough	0	0	 0.000
 15.661	 2.362	ISI	0	0	 0.000
 18.023	 0.270	Bip	0	0	 0.000
 18.293	 2.499	A_smooth	0	0	 0.000
 20.792	 2.362	ISI	0	0	 0.000
 23.154	 0.270	Bip	0	0	 0.000
 23.424	 2.498	A_smooth	0	0	 0.000
 25.922	 0.675	Cue	0	0	 0.000
 26.597	 2.834	Reponse	0	0	 0.000
 29.431	 3.038	ISI	0	0	 0.000
 32.469	 0.270	Bip	0	0	 0.000
 32.739	 2.497	A_smooth	0	0	 0.000
 35.236	 1.688	ISI	0	0	 0.000
 36.924	 0.270	Bip	0	0	 0.000
 37.194	 2.498	A_rough	0	0	 0.000
 39.692	 0.675	Cue	0	0	 0.000
 40.367	 2.363	ISI	0	0	 0.000
 42.730	 0.270	Bip	0	0	 0.000
 43.000	 2.497	AH_smooth	0	0	 0.000
 45.497	 1.350	ISI	0	0	 0.000
 46.847	 0.270	Bip	0	0	 0.000
 47.117	 2.498	AH_rough	0	0	 0.000
 49.615	 1.687	ISI	0	0	 0.000
 51.302	 0.270	Bip	0	0	 0.000
 51.572	 2.498	AH_rough	0	0	 0.000
 54.070	 1.349	ISI	0	0	 0.000
 55.419	 0.271	Bip	0	0	 0.000
 55.690	 2.498	AH_rough	0	0	 0.000
 58.188	 0.675	Cue	0	0	 0.000
 58.863	 2.835	Reponse	0	0	 0.000
 61.698	 3.037	ISI	0	0	 0.000
 64.735	 0.270	Bip	0	0	 0.000
 65.005	 2.498	AH_smooth	0	0	 0.000
 67.503	 1.687	ISI	0	0	 0.000
 69.190	 0.270	Bip	0	0	 0.000
 69.460	 2.498	AH_smooth	0	0	 0.000
 71.958	 1.351	ISI	0	0	 0.000
 73.309	 0.270	Bip	0	0	 0.000
 73.579	 2.497	H_smooth	0	0	 0.000
 76.076	 0.675	Cue	0	0	 0.000
 76.751	 2.835	Reponse	0	0	 0.000
 79.586	 3.037	ISI	0	0	 0.000
 82.623	 0.270	Bip	0	0	 0.000
 82.893	 2.498	H_rough	0	0	 0.000
 85.391	 1.687	ISI	0	0	 0.000
 87.078	 0.270	Bip	0	0	 0.000
 87.348	 2.498	H_rough	0	0	 0.000
 89.846	 1.351	ISI	0	0	 0.000
 91.197	 0.270	Bip	0	0	 0.000
 91.467	 2.497	H_rough	0	0	 0.000
 93.964	 1.688	ISI	0	0	 0.000
 95.652	 0.270	Bip	0	0	 0.000
 95.922	 2.497	H_smooth	0	0	 0.000
 98.419	 1.688	ISI	0	0	 0.000
 100.107	 0.270	Bip	0	0	 0.000
 100.377	 2.497	H_smooth	0	0	 0.000
 102.874	 0.675	Cue	0	0	 0.000
 103.549	 2.363	ISI	0	0	 0.000
 105.912	 14.175	Rest	0	0	 0.000
 120.087	 0.675	Cue	0	0	 0.000
 120.762	 2.363	ISI	0	0	 0.000
 123.125	 0.270	Bip	0	0	 0.000
 123.395	 2.498	AH_smooth	0	0	 0.000
 125.893	 1.688	ISI	0	0	 0.000
 127.581	 0.270	Bip	0	0	 0.000
 127.851	 2.497	AH_rough	0	0	 0.000
 130.348	 1.350	ISI	0	0	 0.000
 131.698	 0.270	Bip	0	0	 0.000
 131.968	 2.497	AH_rough	0	0	 0.000
 134.465	 0.675	Cue	0	0	 0.000
 135.140	 2.835	Reponse	0	0	 0.000
 137.975	 3.038	ISI	0	0	 0.000
 141.013	 0.270	Bip	0	0	 0.000
 141.283	 2.498	AH_smooth	0	0	 0.000
 143.781	 1.688	ISI	0	0	 0.000
 145.469	 0.270	Bip	0	0	 0.000
 145.739	 2.497	AH_smooth	0	0	 0.000
 148.236	 1.350	ISI	0	0	 0.000
 149.586	 0.270	Bip	0	0	 0.000
 149.856	 2.498	AH_rough	0	0	 0.000
 152.354	 0.675	Cue	0	0	 0.000
 153.029	 2.362	ISI	0	0	 0.000
 155.391	 0.270	Bip	0	0	 0.000
 155.661	 2.497	A_smooth	0	0	 0.000
 158.158	 0.675	ISI	0	0	 0.000
 158.833	 0.270	Bip	0	0	 0.000
 159.103	 2.499	A_rough	0	0	 0.000
 161.602	 0.675	Cue	0	0	 0.000
 162.277	 2.835	Reponse	0	0	 0.000
 165.112	 3.037	ISI	0	0	 0.000
 168.149	 0.270	Bip	0	0	 0.000
 168.419	 2.498	A_smooth	0	0	 0.000
 170.917	 1.350	ISI	0	0	 0.000
 172.267	 0.270	Bip	0	0	 0.000
 172.537	 2.497	A_smooth	0	0	 0.000
 175.034	 1.350	ISI	0	0	 0.000
 176.384	 0.270	Bip	0	0	 0.000
 176.654	 2.499	A_rough	0	0	 0.000
 179.153	 1.350	ISI	0	0	 0.000
 180.503	 0.270	Bip	0	0	 0.000
 180.773	 2.497	A_rough	0	0	 0.000
 183.270	 0.675	ISI	0	0	 0.000
 183.945	 14.176	Rest	0	0	 0.000
 198.121	 0.675	Cue	0	0	 0.000
 198.796	 3.037	ISI	0	0	 0.000
 201.833	 0.270	Bip	0	0	 0.000
 202.103	 2.498	H_smooth	0	0	 0.000
 204.601	 1.350	ISI	0	0	 0.000
 205.951	 0.270	Bip	0	0	 0.000
 206.221	 2.497	H_rough	0	0	 0.000
 208.718	 1.687	ISI	0	0	 0.000
 210.405	 0.270	Bip	0	0	 0.000
 210.675	 2.499	H_smooth	0	0	 0.000
 213.174	 1.350	ISI	0	0	 0.000
 214.524	 0.270	Bip	0	0	 0.000
 214.794	 2.497	H_smooth	0	0	 0.000
 217.291	 0.675	Cue	0	0	 0.000
 217.966	 2.835	Reponse	0	0	 0.000
 220.801	 3.038	ISI	0	0	 0.000
 223.839	 0.270	Bip	0	0	 0.000
 224.109	 2.497	H_rough	0	0	 0.000
 226.606	 1.350	ISI	0	0	 0.000
 227.956	 0.270	Bip	0	0	 0.000
 228.226	 2.499	H_rough	0	0	 0.000
 230.725	 0.675	Cue	0	0	 0.000
 231.400	 2.362	ISI	0	0	 0.000
 233.762	 14.175	Rest	0	0	 0.000
 247.937	 0.676	Cue	0	0	 0.000
 248.613	 2.362	ISI	0	0	 0.000
 250.975	 0.270	Bip	0	0	 0.000
 251.245	 2.498	AH_rough	0	0	 0.000
 253.743	 2.362	ISI	0	0	 0.000
 256.105	 0.270	Bip	0	0	 0.000
 256.375	 2.498	AH_smooth	0	0	 0.000
 258.873	 0.674	Cue	0	0	 0.000
 259.547	 2.835	Reponse	0	0	 0.000
 262.382	 3.038	ISI	0	0	 0.000
 265.420	 0.271	Bip	0	0	 0.000
 265.691	 2.497	AH_rough	0	0	 0.000
 268.188	 1.350	ISI	0	0	 0.000
 269.538	 0.270	Bip	0	0	 0.000
 269.808	 2.498	AH_smooth	0	0	 0.000
 272.306	 2.025	ISI	0	0	 0.000
 274.331	 0.270	Bip	0	0	 0.000
 274.601	 2.497	AH_rough	0	0	 0.000
 277.098	 1.688	ISI	0	0	 0.000
 278.786	 0.270	Bip	0	0	 0.000
 279.056	 2.497	AH_smooth	0	0	 0.000
 281.553	 0.675	Cue	0	0	 0.000
 282.228	 2.364	ISI	0	0	 0.000
 284.592	 0.270	Bip	0	0	 0.000
 284.862	 2.497	A_smooth	0	0	 0.000
 287.359	 0.675	Cue	0	0	 0.000
 288.034	 2.835	Reponse	0	0	 0.000
 290.869	 3.037	ISI	0	0	 0.000
 293.906	 0.270	Bip	0	0	 0.000
 294.176	 2.498	A_rough	0	0	 0.000
 296.674	 1.350	ISI	0	0	 0.000
 298.024	 0.270	Bip	0	0	 0.000
 298.294	 2.498	A_rough	0	0	 0.000
 300.792	 1.688	ISI	0	0	 0.000
 302.480	 0.270	Bip	0	0	 0.000
 302.750	 2.497	A_smooth	0	0	 0.000
 305.247	 1.688	ISI	0	0	 0.000
 306.935	 0.270	Bip	0	0	 0.000
 307.205	 2.497	A_rough	0	0	 0.000
 309.702	 0.675	ISI	0	0	 0.000
 310.377	 0.270	Bip	0	0	 0.000
 310.647	 2.497	A_smooth	0	0	 0.000
 313.144	 0.675	Cue	0	0	 0.000
 313.819	 2.363	ISI	0	0	 0.000
 316.182	 0.270	Bip	0	0	 0.000
 316.452	 2.498	H_smooth	0	0	 0.000
 318.950	 1.688	ISI	0	0	 0.000
 320.638	 0.270	Bip	0	0	 0.000
 320.908	 2.497	H_rough	0	0	 0.000
 323.405	 1.688	ISI	0	0	 0.000
 325.093	 0.270	Bip	0	0	 0.000
 325.363	 2.497	H_rough	0	0	 0.000
 327.860	 1.688	ISI	0	0	 0.000
 329.548	 0.270	Bip	0	0	 0.000
 329.818	 2.497	H_smooth	0	0	 0.000
 332.315	 1.688	ISI	0	0	 0.000
 334.003	 0.270	Bip	0	0	 0.000
 334.273	 2.498	H_rough	0	0	 0.000
 336.771	 0.675	Cue	0	0	 0.000
 337.446	 2.835	Reponse	0	0	 0.000
 340.281	 2.362	ISI	0	0	 0.000
 342.643	 0.270	Bip	0	0	 0.000
 342.913	 2.498	H_smooth	0	0	 0.000
 345.411	 0.675	Cue	0	0	 0.000
 346.086	 2.362	ISI	0	0	 0.000
 348.448	 14.176	Rest	0	0	 0.000
 362.624	 0.675	Cue	0	0	 0.000
 363.299	 2.362	ISI	0	0	 0.000
 365.661	 0.270	Bip	0	0	 0.000
 365.931	 2.498	H_smooth	0	0	 0.000
 368.429	 1.350	ISI	0	0	 0.000
 369.779	 0.270	Bip	0	0	 0.000
 370.049	 2.498	H_rough	0	0	 0.000
 372.547	 1.350	ISI	0	0	 0.000
 373.897	 0.270	Bip	0	0	 0.000
 374.167	 2.498	H_rough	0	0	 0.000
 376.665	 0.675	Cue	0	0	 0.000
 377.340	 2.835	Reponse	0	0	 0.000
 380.175	 2.362	ISI	0	0	 0.000
 382.537	 0.270	Bip	0	0	 0.000
 382.807	 2.498	H_smooth	0	0	 0.000
 385.305	 1.687	ISI	0	0	 0.000
 386.992	 0.270	Bip	0	0	 0.000
 387.262	 2.498	H_smooth	0	0	 0.000
 389.760	 1.688	ISI	0	0	 0.000
 391.448	 0.270	Bip	0	0	 0.000
 391.718	 2.497	H_rough	0	0	 0.000
 394.215	 1.350	ISI	0	0	 0.000
 395.565	 0.270	Bip	0	0	 0.000
 395.835	 2.498	AH_rough	0	0	 0.000
 398.333	 1.687	ISI	0	0	 0.000
 400.020	 0.270	Bip	0	0	 0.000
 400.290	 2.498	AH_smooth	0	0	 0.000
 402.788	 0.675	ISI	0	0	 0.000
 403.463	 0.270	Bip	0	0	 0.000
 403.733	 2.498	AH_rough	0	0	 0.000
 406.231	 2.025	ISI	0	0	 0.000
 408.256	 0.270	Bip	0	0	 0.000
 408.526	 2.498	AH_rough	0	0	 0.000
 411.024	 1.687	ISI	0	0	 0.000
 412.711	 0.270	Bip	0	0	 0.000
